,Country Key,Country Name,Region,Continent,Currency,Capital,Total Population,Birth Rate,Completeness of Birth Registration,Completeness of Death Registration,Death rate,Fertility rate,Human Capital Index,Labour force,Net migration,Consumption of iodized salt,"Population, male","Population, female"
0,CAN,Canada,North America,North America,CAD,Ottawa,32243753,10.6,100,100,7.1,1.5434,0.774103761,17697127,1326431,79.65,15984826,16258927
1,CAN,Canada,North America,North America,CAD,Ottawa,32571174,10.9,100,100,7,1.5862,0.774103761,17912331,1326431,79.65,16150387,16420787
2,CAN,Canada,North America,North America,CAD,Ottawa,32889025,11.2,100,100,7.1,1.6589,0.774103761,18276042,1326431,79.65,16311491,16577534
3,CAN,Canada,North America,North America,CAD,Ottawa,33247118,11.3,100,100,7.2,1.6808,0.774103761,18576392,1326431,79.65,16492292,16754826
4,CAN,Canada,North America,North America,CAD,Ottawa,33628895,11.3,100,100,7.1,1.668,0.774103761,18712292,1326431,79.65,16683829,16945066
5,CAN,Canada,North America,North America,CAD,Ottawa,34004889,11.1,100,100,7,1.6269,0.774103761,18918726,1326431,79.65,16871021,17133868
6,CAN,Canada,North America,North America,CAD,Ottawa,34339328,11,100,100,7.1,1.61,0.774103761,19061288,1326431,79.65,17035831,17303497
7,CAN,Canada,North America,North America,CAD,Ottawa,34714222,11,100,100,7.1,1.6142,0.774103761,19250224,1241416,79.65,17219264,17494958
8,CAN,Canada,North America,North America,CAD,Ottawa,35082954,10.8,100,100,7.2,1.587,0.774103761,19475966,1241416,79.65,17399107,17683847
9,CAN,Canada,North America,North America,CAD,Ottawa,35437435,10.8,100,100,7.3,1.5818,0.774103761,19560730,1241416,79.65,17572607,17864828
10,CAN,Canada,North America,North America,CAD,Ottawa,35702908,10.7,100,100,7.4,1.563,0.774103761,19678725,1241416,79.65,17703599,17999309
11,CAN,Canada,North America,North America,CAD,Ottawa,36109487,10.6,100,100,7.4,1.5433,0.774103761,19888520,1241416,79.65,17906490,18202997
12,CAN,Canada,North America,North America,CAD,Ottawa,36545295,10.3,100,100,7.5,1.4961,0.799,20166002,1210159,79.65,18125530,18419765
13,CAN,Canada,North America,North America,CAD,Ottawa,37065178,10.1,100,100,7.7,1.4988,0.800089955,20349922,1210159,79.65,18387468,18677710
14,CAN,Canada,North America,North America,CAD,Ottawa,37593384,9.9,100,100,7.6,1.4684,0.800089955,20743970,1210159,79.65,18654019,18939365
15,CAN,Canada,North America,North America,CAD,Ottawa,38005238,9.9,100,100,,1.4684,0.797520101,20457473,1210159,79.65,18862750,19142488
16,USA,United States,North America,North America,USD,Washington,295516599,14,100,100,8.3,2.057,0.691508174,152069621,5428756,79.65,145826206,149690393
17,USA,United States,North America,North America,USD,Washington,298379912,14.3,100,100,8.1,2.108,0.691508174,153926382,5428756,79.65,147268698,151111214
18,USA,United States,North America,North America,USD,Washington,301231207,14.3,100,100,8,2.12,0.691508174,155217714,5428756,79.65,148697409,152533798
19,USA,United States,North America,North America,USD,Washington,304093966,14,100,100,8.1,2.072,0.691508174,157018957,5428756,79.65,150129032,153964934
20,USA,United States,North America,North America,USD,Washington,306771529,13.5,100,98,7.9,2.002,0.691508174,157119037,5428756,79.65,151473510,155298019
21,USA,United States,North America,North America,USD,Washington,309327143,13,100,100,7.995,1.931,0.691508174,156908693,5428756,79.65,152766811,156560332
22,USA,United States,North America,North America,USD,Washington,311583481,12.7,100,100,8.073,1.8945,0.691508174,156988739,5428756,79.65,153923475,157660006
23,USA,United States,North America,North America,USD,Washington,313877662,12.6,100,100,8.102,1.8805,0.691508174,158669839,4961716,79.65,155107653,158770009
24,USA,United States,North America,North America,USD,Washington,316059947,12.4,100,100,8.215,1.8575,0.691508174,158786446,4961716,79.65,156240138,159819809
25,USA,United States,North America,North America,USD,Washington,318386329,12.5,100,100,8.237,1.8625,0.691508174,159585089,4961716,79.65,157439895,160946434
26,USA,United States,North America,North America,USD,Washington,320738994,12.4,100,100,8.44,1.8435,0.691508174,160656132,4961716,79.65,158643212,162095782
27,USA,United States,North America,North America,USD,Washington,323071755,12.2,100,100,8.493,1.8205,0.691508174,162618460,4961716,79.65,159825817,163245938
28,USA,United States,North America,North America,USD,Washington,325122128,11.8,100,100,8.638,1.7655,0.762,164326552,4774029,79.65,160859432,164262696
29,USA,United States,North America,North America,USD,Washington,326838199,11.6,100,100,8.678,1.7295,0.713683248,165551383,4774029,79.65,161719493,165118706
30,USA,United States,North America,North America,USD,Washington,328329953,11.4,100,100,8.7,1.705,0.713683248,167329067,4774029,79.65,162462628,165867325
31,USA,United States,North America,North America,USD,Washington,329484123,11.4,100,100,8.7,1.705,0.701764345,165163504,4774029,79.65,163034623,166449500
32,MEX,Mexico,North America,North America,MXN,Mexico City,106005199,21.741,93.4,93.9,4.792,2.495,0.589118779,43772747,-562404,79.65,51836847,54168352
33,MEX,Mexico,North America,North America,MXN,Mexico City,107560155,21.343,93.4,93.9,4.869,2.456,0.589118779,45215867,-562404,79.65,52588297,54971858
34,MEX,Mexico,North America,North America,MXN,Mexico City,109170503,20.973,93.4,93.9,4.961,2.421,0.589118779,46262334,-562404,79.65,53381477,55789026
35,MEX,Mexico,North America,North America,MXN,Mexico City,110815272,20.635,93.4,93.9,5.06,2.391,0.589118779,47054559,-562404,79.65,54200255,56615017
